Repo Name,Default Branch Name,Is Archived,Is Private,Is Empty,Is Fork,Parent Repo Name,Merge Commit Allowed,Squash Merge Allowed,Rebase Merge Allowed,IsAdminEnforced,RequiresCommitSignatures,RestrictsPushes,RequiresApprovingReviews,RequiresStatusChecks,RequiresCodeOwnerReviews,DismissesStaleReviews,RequiresStrictStatusChecks,RequiredApprovingReviewCount,AllowsForcePushes,AllowsDeletions,Branch Protection Pattern
hmrc/api-documentation-frontend-history,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-documentation-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-documentation-test-service,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-example-dotnet-client,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,false,master
hmrc/api-example-java-client,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-example-microservice,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-example-microservice-history,master,false,true,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-example-nodejs-client,master,false,false,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-example-scala-client,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-gatekeeper-frontend,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-gateway-access-log-handler,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-gateway-performance-tests,master,false,true,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-gateway-proxy,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-gateway-stub,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-integration-test-runner,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-notification-pull,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-notification-pull-performance-test,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-notification-queue,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-open-access-test-service,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,false,master
hmrc/api-performance-test-runner,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-performance-tests,master,false,true,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-platform-acceptance-tests,master,false,true,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-platform-add-api-lambda,master,false,false,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-platform-add-subscription-lambda,master,false,false,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-platform-add-update-application-lambda,master,false,false,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-platform-admin-api-deploy,master,false,true,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-platform-application-authorizer,master,false,true,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-platform-authorizer,master,false,true,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-platform-delete-api-key-lambda,master,false,false,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-platform-delete-api-lambda,master,false,false,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-platform-delete-application-lambda,master,false,false,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-platform-delete-subscription-lambda,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-platform-events,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-platform-example-lambda,master,false,false,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-platform-get-apis-lambda,master,false,false,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-platform-inbound-soap-perf-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,false,master
hmrc/api-platform-inbound-soap-performance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,false,master
hmrc/api-platform-jobs,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,false,master
hmrc/api-platform-manage-api,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-platform-microservice,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/api-platform-open-authorizer,master,false,false,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-platform-outbound-soap,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,false,master
hmrc/api-platform-outbound-soap-performance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,false,master
hmrc/api-platform-scripts,master,false,true,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/api-platform-test,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
